title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
Three Billboards Outside Eb...,Fox Searchlight,Black Comedy,17.228277783442753,3331406.0,97.0,2018.0,1272.8468152943065,320.550123011181,9
Free Solo,Greenwich,Documentary,16.25325466828283,1256551.0,138.0,2018.0,1259.0848502554354,317.9794580643452,5
Jurassic World: Fallen Kingdom,Universal,Action,19.850321335027914,45852883.0,4.0,2018.0,1248.7327741573456,346.13677541631165,25
The Sisters Brothers,Annapurna Pictures,Western,14.960706132992915,345011.0,199.0,2018.0,1229.5182563433816,325.77007943544965,3
Chappaquiddick,Entertainment Stu...,Drama,16.671723317255037,1909497.0,123.0,2018.0,1219.9062219683988,328.5284838971175,7
The Strangers: Prey at Night,Aviron Pictures,Horror,17.011382695205064,2681830.0,107.0,2018.0,1205.7893473875956,336.0593438792094,9
Skyscraper,Universal,Action,18.04117749138533,7510441.0,46.0,2018.0,1206.1628014552864,362.0566616650758,17
Black Panther,Walt Disney,Action,20.36667598367308,76845177.0,1.0,2018.0,1178.262926594722,393.4508806036774,25
The Death of Stalin,IFC Films,Black Comedy,15.900742304009741,883255.0,151.0,2018.0,1158.0276101781033,371.3029242753993,5
Call Me by Your Name,Sony Pictures Cla...,Drama,16.392564132159674,1444381.0,132.0,2018.0,1150.0704266474397,365.24625602797653,5
Mid90s,A24,Drama,15.811901821678454,808171.0,156.0,2018.0,1144.863414393926,356.7088662985712,5
A Wrinkle in Time,Walt Disney,Adventure,18.425455407085018,11029484.0,34.0,2018.0,1122.885975107897,357.7049398043495,17
First Reformed,A24,Thriller/Suspense,15.053379153949303,378513.0,192.0,2018.0,1118.477230264042,338.1969166112686,3
Super Troopers 2,20th Century Fox,Comedy,17.237078902121585,3360856.0,95.0,2018.0,1108.1884702432867,332.0210428078861,9
The Old Man and the Gun,Fox Searchlight,Comedy,16.231294238517265,1229258.0,139.0,2018.0,1111.1941152398695,318.3474881071319,5
Can You Ever Forgive Me?,Fox Searchlight,Drama,15.836258994061113,828098.0,155.0,2018.0,1114.9881911017694,309.0951917243874,5
Ready Player One,Warner Bros.,Adventure,18.740516588602723,15114179.0,24.0,2018.0,1090.8066189937913,302.75077919156377,20
Winchester,CBS Films,Horror,17.038052295157378,2754316.0,106.0,2018.0,1077.8858969649211,276.78821109338304,9
Hunter Killer,Lionsgate,Thriller/Suspense,16.57345888065292,1730786.0,126.0,2018.0,1075.4516608188947,260.974467248696,7
The Predator,20th Century Fox,Action,17.74782054395885,5600956.0,58.0,2018.0,1055.6785348994931,251.32959859352536,15
Superfly,Sony Pictures,Thriller/Suspense,16.837745366186674,2254350.0,116.0,2018.0,1058.2127412766733,229.4760451516281,7
Hotel Artemis,Global Road,Thriller/Suspense,15.718831825091756,736348.0,160.0,2018.0,1064.7054360166587,219.38422098484006,5
Goosebumps 2: Haunted Hallo...,Sony Pictures,Horror,17.6591973548266,5125940.0,66.0,2018.0,1074.4789201202402,201.93489410736316,15
